condition,tag,family,prevalence,f1,baseline_f1_majority,baseline_f1_always_yes,mcc,balanced_accuracy
bev_txt,is_turn_left,ego_maneuver,0.121,0.0,0.0,0.216,0.0,0.5
bev_txt,is_turn_right,ego_maneuver,0.096,0.0,0.0,0.174,0.0,0.5
bev_txt,is_u_turn,ego_maneuver,0.057,0.0,0.0,0.108,0.0,0.5
bev_txt,is_cruising,ego_maneuver,0.376,0.0166,0.0,0.546,0.004,0.5
bev_txt,is_stationary,ego_maneuver,0.245,0.0,0.0,0.394,0.0,0.5
bev_txt,is_accelerating,ego_maneuver,0.189,0.0301,0.0,0.319,-0.018,0.497
bev_txt,is_decelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
bev_txt,lane_change,ego_maneuver,0.153,0.0,0.0,0.265,0.0,0.5
bev_txt,on_drivable_area,map_context,1.0,1.0,1.0,1.0,0.0,0.5
bev_txt,at_intersection,map_context,0.344,0.0,0.0,0.512,0.0,0.5
bev_txt,on_lane,map_context,0.656,0.7923,0.7923,0.792,0.0,0.5
bev_txt,on_ped_crossing,map_context,0.188,0.0,0.0,0.316,-0.047,0.494
bev_txt,on_stop_line,map_context,0.264,0.0442,0.0,0.418,0.001,0.5
bev_txt,ped_crossing_ahead,map_context,0.54,0.0,0.7011,0.701,-0.123,0.486
bev_txt,stop_line_ahead,map_context,0.75,0.0617,0.8571,0.857,0.09,0.516
bev_txt,intersection_ahead,map_context,0.861,0.0,0.9256,0.926,0.0,0.5
bev_txt,traffic_light_ahead,map_context,0.229,0.0,0.0,0.373,0.0,0.5
bev_txt,has_pedestrian,visible_objects,0.602,0.9275,0.7515,0.751,0.811,0.889
bev_txt,has_vehicle,visible_objects,0.93,0.9845,0.9637,0.964,0.806,0.943
bev_txt,parked_vehicle,visible_objects,0.576,0.043,0.7313,0.731,0.058,0.507
bev_txt,moving_vehicle,visible_objects,0.705,0.8682,0.8273,0.827,0.454,0.648
bev_txt,stopped_vehicle,visible_objects,0.409,0.0221,0.0,0.581,-0.067,0.49
bev_txt,large_vehicle,visible_objects,0.646,0.1863,0.7853,0.785,0.167,0.545
bev_txt,cyclist,visible_objects,0.174,0.2256,0.0,0.296,0.238,0.56
bev_txt,parked_bicycle,visible_objects,0.108,0.0,0.0,0.195,0.0,0.5
bev_txt,construction_object,visible_objects,0.323,0.0195,0.0,0.489,0.082,0.505
bev_txt,traffic_cone,visible_objects,0.215,0.8122,0.0,0.354,0.791,0.843
bev_txt,barrier,visible_objects,0.193,0.9191,0.0,0.323,0.901,0.94
bev_txt,pedestrian_near,visible_objects,0.239,0.6835,0.0,0.386,0.597,0.782
bev_txt,vehicle_near,visible_objects,0.451,0.6374,0.0,0.621,0.196,0.581
bev_txt,lead_vehicle,interaction,0.5,0.0249,0.6667,0.667,0.015,0.502
bev_txt,lead_braking,interaction,0.172,0.0,0.0,0.293,0.0,0.5
bev_txt,cut_in,interaction,0.174,0.0,0.0,0.296,0.0,0.5
bev_txt,pedestrian_crossing_path,interaction,0.156,0.0,0.0,0.27,0.0,0.5
both,is_going_straight,ego_maneuver,0.726,0.834,0.8413,0.841,0.177,0.558
both,is_turn_left,ego_maneuver,0.121,0.1667,0.0,0.216,0.089,0.535
both,is_turn_right,ego_maneuver,0.096,0.0294,0.0,0.174,0.011,0.502
both,is_u_turn,ego_maneuver,0.057,0.0,0.0,0.108,0.0,0.5
both,is_cruising,ego_maneuver,0.376,0.5373,0.0,0.546,0.028,0.509
both,is_stationary,ego_maneuver,0.245,0.0,0.0,0.394,0.0,0.5
both,is_accelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
both,is_decelerating,ego_maneuver,0.189,0.0,0.0,0.319,-0.027,0.498
both,lane_change,ego_maneuver,0.153,0.0192,0.0,0.265,-0.009,0.499
both,on_drivable_area,map_context,1.0,1.0,1.0,1.0,0.0,0.5
both,at_intersection,map_context,0.344,0.3544,0.0,0.512,0.04,0.52
both,on_lane,map_context,0.656,0.7923,0.7923,0.792,0.0,0.5
both,on_ped_crossing,map_context,0.188,0.0,0.0,0.316,0.0,0.5
both,on_stop_line,map_context,0.264,0.0,0.0,0.418,0.0,0.5
both,ped_crossing_ahead,map_context,0.54,0.0059,0.7011,0.701,0.037,0.501
both,stop_line_ahead,map_context,0.75,0.0,0.8571,0.857,0.0,0.5
both,intersection_ahead,map_context,0.861,0.5183,0.9256,0.926,0.22,0.648
both,traffic_light_ahead,map_context,0.229,0.7295,0.0,0.373,0.645,0.85
both,has_pedestrian,visible_objects,0.602,0.6,0.7515,0.751,0.48,0.714
both,has_vehicle,visible_objects,0.93,0.9681,0.9637,0.964,0.581,0.811
both,parked_vehicle,visible_objects,0.576,0.5159,0.7313,0.731,0.371,0.657
both,moving_vehicle,visible_objects,0.705,0.8666,0.8273,0.827,0.522,0.752
both,stopped_vehicle,visible_objects,0.409,0.1897,0.0,0.581,-0.138,0.443
both,large_vehicle,visible_objects,0.646,0.5544,0.7853,0.785,0.394,0.681
both,cyclist,visible_objects,0.174,0.3704,0.0,0.296,0.432,0.614
both,parked_bicycle,visible_objects,0.108,0.0563,0.0,0.195,0.124,0.514
both,construction_object,visible_objects,0.323,0.7422,0.0,0.489,0.659,0.8
both,traffic_cone,visible_objects,0.215,0.7626,0.0,0.354,0.703,0.839
both,barrier,visible_objects,0.193,0.7171,0.0,0.323,0.647,0.832
both,pedestrian_near,visible_objects,0.239,0.75,0.0,0.386,0.668,0.843
both,vehicle_near,visible_objects,0.451,0.6612,0.0,0.621,0.275,0.582
both,lead_vehicle,interaction,0.5,0.713,0.6667,0.667,0.342,0.658
both,lead_braking,interaction,0.172,0.0339,0.0,0.293,0.009,0.502
both,cut_in,interaction,0.174,0.0,0.0,0.296,0.0,0.5
both,pedestrian_crossing_path,interaction,0.156,0.0,0.0,0.27,0.0,0.5
temporal,is_going_straight,ego_maneuver,0.726,0.8413,0.8413,0.841,0.0,0.5
temporal,is_turn_left,ego_maneuver,0.121,0.0,0.0,0.216,0.0,0.5
temporal,is_turn_right,ego_maneuver,0.096,0.0,0.0,0.174,0.0,0.5
temporal,is_u_turn,ego_maneuver,0.057,0.0,0.0,0.108,0.0,0.5
temporal,is_cruising,ego_maneuver,0.376,0.5463,0.0,0.546,0.0,0.5
temporal,is_stationary,ego_maneuver,0.245,0.0,0.0,0.394,0.0,0.5
temporal,is_accelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
temporal,is_decelerating,ego_maneuver,0.189,0.0,0.0,0.319,0.0,0.5
temporal,lane_change,ego_maneuver,0.153,0.0,0.0,0.265,0.0,0.5
temporal,on_drivable_area,map_context,1.0,1.0,1.0,1.0,0.0,0.5
temporal,at_intersection,map_context,0.344,0.3711,0.0,0.512,0.097,0.545
temporal,on_lane,map_context,0.656,0.7923,0.7923,0.792,0.0,0.5
temporal,on_ped_crossing,map_context,0.188,0.0,0.0,0.316,0.0,0.5
temporal,on_stop_line,map_context,0.264,0.0,0.0,0.418,0.0,0.5
temporal,ped_crossing_ahead,map_context,0.54,0.0405,0.7011,0.701,0.098,0.51
temporal,stop_line_ahead,map_context,0.75,0.0,0.8571,0.857,0.0,0.5
temporal,intersection_ahead,map_context,0.861,0.4511,0.9256,0.926,0.186,0.618
temporal,traffic_light_ahead,map_context,0.229,0.6561,0.0,0.373,0.551,0.817
temporal,has_pedestrian,visible_objects,0.602,0.6076,0.7515,0.751,0.455,0.708
